latitude,longitude,ethnicity
29.58708333,-97.98891111,White
41.53325556,-87.31211111,White
32.50136111,-92.08319167,White
33.51301667,-86.82195556,White
33.50780833,-93.94886389,White
39.10638333,-94.81075556,White
34.49229722,-92.71203889,White
29.02801944,-80.99751944,White
29.53157222,-98.10286944,White
41.35778056,-81.51356111,White
30.02995278,-95.429325,White
38.93918056,-80.54190556,White
35.46184722,-105.2772,White
32.89037778,-79.95784167,White
35.6845,-97.4164,White
35.21469167,-80.87271389,White
37.77932778,-121.3149583,White
39.69952778,-86.10687778,White
35.85445,-80.10253611,White
28.1575,-81.82527778,White
30.66044722,-87.87531944,White
34.57276389,-92.59101944,White
41.693975,-91.63245556,White
34.50902778,-84.91835,White
32.78996944,-97.32111944,White
35.602675,-90.49653056,White
39.33930556,-94.75233333,White
27.10020278,-82.27091389,White
32.48289167,-100.0902472,White
39.96304444,-83.30881111,White
33.31590833,-97.17979722,White
39.273,-84.34836667,White
42.38478889,-83.15104444,White
40.8562,-72.83923333,White
42.36768333,-83.05976389,White
29.77071111,-95.17785,White
38.24711111,-90.40286111,White
33.48363611,-82.12708056,White
34.03458333,-118.3418833,White
29.43261944,-98.49982778,White
33.92546111,-118.1037944,White
32.77914444,-117.0699583,White
37.75856944,-81.21290833,White
45.07506111,-93.32285556,White
32.90155278,-96.45729167,White
39.97685,-83.119225,White
39.62009444,-86.46180556,White
35.00258889,-85.5121,White
32.47401667,-98.62585,White
32.80466389,-97.21207778,White
41.07260833,-111.2598528,White
36.3577,-97.3268,White
30.608475,-95.50593889,White
35.5275,-97.527425,White
41.41308611,-87.32129722,White
34.02921389,-117.5502972,White
37.70158056,-121.914175,White
35.5127,-97.4594,White
32.29739167,-96.56823056,White
45.51729167,-122.6670861,White
39.16185556,-84.81145,White
33.3337,-86.96317222,White
26.00777778,-80.34,White
33.89665,-118.1047611,White
26.39453056,-80.09333889,White
26.12004444,-80.343275,White
30.47475278,-90.72394167,White
35.16088333,-111.28165,White
32.63569722,-111.3768778,White
34.75732778,-117.1616889,White
44.00312778,-90.47908611,White
37.86666111,-80.70654444,White
40.24491389,-77.08743333,White
40.12433056,-87.8523,White
31.16889722,-105.335425,White
42.19988611,-113.0259444,White
30.47906111,-90.35386111,White
33.6029,-113.5803639,White
33.55303056,-117.6728,White
35.00854167,-90.84596667,White
32.41340833,-100.7275222,White
39.08734444,-94.80132778,White
37.425875,-121.9147889,White
32.41245,-88.49243056,White
42.29228333,-84.22477778,White
38.24381389,-86.09703611,White
26.44103056,-97.78456944,White
33.62447778,-114.433875,White
32.03614722,-110.1012,White
34.90723889,-116.96045,White
36.13938056,-85.28278889,White
28.7824,-98.3146,White
28.63033889,-82.17061944,White
31.3339,-90.47719444,White
33.31851111,-80.54765,White
32.786675,-113.5677167,White
32.974425,-96.31911944,White
42.2904,-105.0466,White
41.59755833,-90.43061111,White
47.39544167,-121.47615,White
34.50276667,-82.98006111,White
36.263475,-80.82460556,White
41.39096111,-110.1900889,White
29.692025,-96.6404,White
48.20794167,-97.18895833,White
33.6923,-97.16208611,White
38.18431667,-87.37655556,White
34.97507222,-104.9625861,White
46.71154167,-120.4317528,White
47.16220556,-120.8512972,White
37.77331389,-80.37635833,White
40.00892222,-86.75515833,White
41.10004167,-80.98456111,White
36.55644722,-120.5222194,White
37.47712778,-85.88162778,White
30.25316111,-82.50143889,White
38.67349167,-121.6411028,White
32.4922,-100.3158806,White
29.9487,-94.24758889,White
38.97383333,-93.33958333,White
34.04421389,-87.89578333,White
35.384,-96.6718,White
39.50727778,-77.93866111,White
44.80473056,-69.22283056,White
45.56471111,-68.54651111,White
39.18515833,-104.8499944,White
37.07476111,-81.12661111,White
36.82646111,-76.32626111,White
38.82493889,-77.22143889,White
36.83113889,-76.30005556,White
38.86072222,-104.8341333,White
36.98156944,-76.42531944,White
38.79782222,-97.61801111,White
39.06591944,-96.45704722,White
40.95413889,-104.9245,White
45.61486944,-68.51246111,White
42.19828889,-88.67783056,White
39.90975833,-89.59486944,White
35.13853889,-84.99215,White
29.58721944,-82.36092778,White
32.4797,-98.60501944,White
38.93383333,-92.944,White
34.283175,-92.95893056,White
32.56301667,-93.04629167,White
34.33666667,-117.4826611,White
31.81795,-97.09845,White
31.42476667,-87.00032222,White
33.38465,-94.6022,White
33.67523889,-115.9463306,White
39.36406111,-85.51914444,White
39.84453611,-85.53138611,White
40.41073889,-85.5489,White
33.76824167,-86.46567778,White
43.31240833,-87.92029444,White
35.07410556,-107.5612056,White
34.42484167,-83.16039444,White
35.8997,-84.79448889,White
35.26152778,-112.1549611,White
,,White
30.36835,-91.62788889,White
35.56932222,-78.16416944,White
40.81131944,-74.06326111,White
26.23329167,-98.37178333,White
33.90549167,-118.1835417,White
32.05325833,-81.14198611,White
34.06811667,-117.3835889,White
35.5782,-97.4422,White
32.66433056,-97.31811111,White
41.31170556,-72.91168889,White
33.93841944,-118.0972056,White
30.23665278,-93.26185278,White
40.52721389,-74.35534722,White
