consecutive_number,latitude,longitude
483296,30.00176667,-94.19345
50414,34.49229722,-92.71203889
120769,29.02801944,-80.99751944
483386,29.53157222,-98.10286944
540169,38.93918056,-80.54190556
450123,32.89037778,-79.95784167
483142,32.78996944,-97.32111944
50280,35.602675,-90.49653056
290362,39.33930556,-94.75233333
120785,27.10020278,-82.27091389
482615,32.48289167,-100.09024722
390005,39.96304444,-83.30881111
360564,40.8562,-72.83923333
180632,39.62009444,-86.46180556
470588,35.00258889,-85.5121
490100,41.07260833,-111.25985278
400135,36.3577,-97.3268
481253,30.608475,-95.50593889
220630,30.47475278,-90.72394167
40395,32.63569722,-111.37687778
61511,34.75732778,-117.16168889
550061,44.00312778,-90.47908611
540129,37.86666111,-80.70654444
420289,40.24491389,-77.08743333
170180,40.12433056,-87.8523
483438,31.16889722,-105.335425
160043,42.19988611,-113.02594444
220065,30.47906111,-90.35386111
40514,33.6029,-113.58036389
62250,33.55303056,-117.6728
50150,35.00854167,-90.84596667
280419,32.41245,-88.49243056
260198,42.29228333,-84.22477778
180498,38.24381389,-86.09703611
40238,32.03614722,-110.1012
61592,34.90723889,-116.96045
480907,28.7824,-98.3146
121392,28.63033889,-82.17061944
280516,31.3339,-90.47719444
450785,33.31851111,-80.54765
40126,32.786675,-113.56771667
481765,32.974425,-96.31911944
560073,42.2904,-105.0466
190283,41.59755833,-90.43061111
530321,47.39544167,-121.47615
450033,34.50276667,-82.98006111
370438,36.263475,-80.82460556
560062,41.39096111,-110.19008889
480526,29.692025,-96.6404
481262,33.6923,-97.16208611
180203,38.18431667,-87.37655556
350362,34.97507222,-104.96258611
530342,46.71154167,-120.43175278
530158,47.16220556,-120.85129722
540193,37.77331389,-80.37635833
180452,40.00892222,-86.75515833
390855,41.10004167,-80.98456111
62067,36.55644722,-120.52221944
210016,37.47712778,-85.88162778
122006,30.25316111,-82.50143889
61440,38.67349167,-121.64110278
482338,32.4922,-100.31588056
480754,29.9487,-94.24758889
290655,38.97383333,-93.33958333
10249,34.04421389,-87.89578333
400267,35.384,-96.6718
540214,39.50727778,-77.93866111
230112,45.56471111,-68.54651111
80150,39.18515833,-104.84999444
510377,37.07476111,-81.12661111
80204,40.95413889,-104.9245
230014,45.61486944,-68.51246111
170094,42.19828889,-88.67783056
170591,39.90975833,-89.59486944
470595,35.13853889,-84.99215
480922,32.4797,-98.60501944
290816,38.93383333,-92.944
50248,34.283175,-92.95893056
220555,32.56301667,-93.04629167
61985,34.33666667,-117.48266111
483078,31.81795,-97.09845
10228,31.42476667,-87.00032222
61942,33.67523889,-115.94633056
180466,39.36406111,-85.51914444
180347,39.84453611,-85.53138611
180002,40.41073889,-85.5489
10603,33.76824167,-86.46567778
550200,43.31240833,-87.92029444
350115,35.07410556,-107.56120556
130712,34.42484167,-83.16039444
470752,35.8997,-84.79448889
220186,30.36835,-91.62788889
370037,35.56932222,-78.16416944
61485,34.06811667,-117.38358889
340073,40.91726944,-74.80825
62299,36.34918056,-120.31638333
10477,31.80889167,-86.66769722
61925,33.230325,-117.39983889
61663,37.44430833,-122.25662222
481030,32.14859722,-96.468025
50142,34.83567778,-92.34761667
60322,32.56489167,-117.07316111
121135,30.29216944,-82.87980278
240021,39.69444444,-79.26085278
50265,35.15121389,-90.38995833
170432,41.39671667,-90.32865556
122731,29.91363333,-82.55325833
10074,32.88001389,-87.90964167
390999,40.94046111,-83.78022778
180062,39.82456667,-85.715075
280015,31.22489444,-89.32438611
280339,31.03641944,-90.49853333
10129,33.006275,-86.70598889
10428,32.72246389,-86.53376667
200118,38.65311111,-95.19374167
10476,32.88875278,-87.90333611
420108,41.07251111,-75.48776389
390868,40.24929722,-82.92903889
560080,41.5274,-109.4209
280561,31.50236389,-89.30458889
131045,33.54713611,-83.10786111
480405,31.15193056,-95.98428056
450188,32.54244444,-80.95266944
280274,34.84973056,-89.68838611
170550,37.93673056,-88.94389722
390786,40.56149167,-82.63856389
10926,32.7052,-86.52334167
170456,41.08049722,-89.06737222
220273,30.21543611,-92.65491389
130548,33.603225,-83.66195278
60857,35.46477222,-115.61485
280312,33.81945556,-89.83945556
180167,39.06602222,-85.92265278
61648,38.92291389,-121.99854167
510548,36.84481944,-81.48955
510110,36.98472222,-77.69805556
510649,38.83888056,-78.56321111
510345,37.96138889,-79.20171944
510188,37.21611111,-76.595
180761,41.75594167,-85.16821389
62838,35.34631111,-115.94643889
400554,35.385,-96.6006
240205,39.68858611,-79.19012222
160085,42.57613611,-114.19632778
371286,35.39244167,-78.52036667
490068,40.75226667,-112.71944444
360597,43.00796944,-78.95623333
350092,34.16063889,-106.91863056
61895,34.83385278,-116.73808056
61276,33.70095278,-115.45961944
300152,45.70735833,-107.52982778
350088,35.28260833,-107.98597222
121541,28.82643056,-80.90978056
560052,44.9595,-107.2541
300137,46.69233333,-105.45161389
350124,35.76025556,-105.01131111
130338,31.02458889,-81.65650278
80020,39.73972222,-104.68516667
61887,33.92181111,-116.74541389
170470,39.67117778,-90.80519167
310151,40.82141944,-97.36671389
310032,40.68451667,-98.9575
40474,31.71502778,-111.06353611
482220,32.69262778,-96.24162222
131366,33.57959167,-83.58115556
120153,27.13473611,-82.40518889
370558,35.85703889,-80.08849444
300046,47.06927222,-104.47159167
470778,35.84801944,-86.6966
120790,29.04076944,-81.00538056
290390,37.94452778,-91.85308333
390966,41.13403056,-80.87433611
420254,40.91664444,-75.64792222
190341,41.49680278,-94.72456111
210220,38.58575278,-85.1756
510096,38.86996667,-77.89156111
540166,37.85868333,-80.51803056
