consecutive_number,latitude,longitude
320007,39.61982222,-119.20596389
400241,35.3832,-97.0903
550215,44.91809722,-92.04490833
530489,46.19943056,-119.32198889
290391,38.80511111,-90.80261111
121275,30.14999167,-81.54614167
122148,28.30083333,-81.57561667
330079,42.78660833,-71.26544167
60722,33.27123056,-117.44096667
10115,33.900625,-87.46942778
530492,47.39580278,-122.29168056
40657,32.82805,-111.92279722
220046,32.51078056,-92.19543056
470896,36.54248056,-87.23696111
131055,34.95079444,-85.17610556
490149,38.66950556,-112.58813333
480992,28.01081944,-99.36378889
40319,35.17775278,-111.34679444
40512,33.63561667,-113.79721111
120820,30.70791111,-86.72106111
371112,35.26516389,-80.96696667
120438,29.04076944,-81.00538056
220161,30.36188056,-89.74216111
60778,37.79512222,-122.20773333
482463,30.23461111,-97.74045278
160105,43.67684167,-116.68684444
320175,36.06145278,-115.178875
320271,36.06044444,-115.17996667
550228,44.71448889,-91.34775833
40175,34.87436944,-111.63476111
400113,35.4228,-94.7046
410057,42.74885556,-123.365275
120263,28.6544,-82.15238056
310168,40.82245278,-97.95776944
40783,35.292325,-109.1491
400275,35.32158889,-99.60853056
160091,42.23884722,-113.08746944
40692,35.20176389,-111.44723611
120710,27.11273056,-82.32128889
190207,42.00627222,-96.11664444
270370,43.85953056,-93.27963611
550422,44.01417778,-90.491025
290411,38.89716667,-91.59958333
481050,35.20878889,-102.92426944
120079,26.8703,-81.97538056
370612,36.06905556,-79.79500556
122173,26.89121111,-81.99788056
400537,33.889,-97.1342
480358,33.87156667,-101.85362778
450899,34.84745,-81.01761944
160134,43.21488889,-112.3497
40392,34.92505278,-110.13603056
530436,46.24761111,-119.32521667
60928,35.2261,-119.18087778
180567,38.22207778,-86.71328889
481558,31.07141667,-105.00636389
481663,32.45275,-95.25651944
380031,46.89248889,-98.80031111
290564,37.27877778,-93.04419444
61598,37.74049722,-121.49970556
490095,37.27962222,-113.31019444
482654,32.46200833,-99.83681667
470304,35.18885556,-90.01770278
120280,27.642575,-82.45781944
240304,39.111875,-77.18971944
400040,35.4606,-97.6379
60741,37.54911111,-121.919
121231,29.16466667,-82.18514444
400127,35.4612,-97.5785
290617,39.25223889,-94.50894722
410048,45.33756667,-122.76954167
390448,40.69925,-84.09031389
60099,33.68666944,-117.89811944
370356,35.59011389,-82.57469167
120989,26.51294444,-81.79484722
170492,38.63733333,-88.97273333
61709,35.46055,-115.62742778
120279,30.07455556,-81.49858611
80344,40.10633333,-104.59061667
481649,30.45170833,-100.25712222
481857,35.20190278,-100.79318889
350062,35.15748611,-103.15035278
350173,35.57873611,-106.08079444
130162,31.77588611,-81.37929444
490092,40.72595,-113.144575
80334,37.67361111,-104.80186111
460097,44.063425,-102.37018611
481851,30.58939167,-100.67257778
290404,39.009,-93.97925
482196,32.52313889,-95.70585833
482109,31.014,-103.86716111
40240,35.00962222,-111.68521389
120194,26.15703333,-80.76949167
260006,43.24398056,-83.77050278
62640,32.77375833,-115.53113889
250049,42.13058056,-71.85760833
290504,38.7525,-90.43858333
80488,38.70555556,-104.72344444
122041,29.15031111,-82.18491944
280206,32.35942222,-90.45103333
61207,34.02171389,-118.47653611
480697,29.78453056,-95.61429722
170710,40.94495278,-88.58650278
482615,32.157075,-101.71381944
350077,35.34775,-108.01395278
450475,33.19197222,-80.60631111
550428,43.523225,-89.54027222
80131,39.52975,-107.73944444
300162,46.20808611,-112.77731667
482123,32.48002222,-95.49163056
482351,30.62201667,-100.780025
490113,37.46816944,-113.224275
80064,39.54481389,-107.63305556
320029,40.66020278,-116.961125
481897,32.13795278,-96.45865278
220335,30.24631389,-92.96296389
121911,26.15365,-81.44193056
480649,30.68971111,-101.39338889
480508,32.14109722,-101.79386389
483014,30.39955278,-99.62725
350263,32.24797222,-107.46029167
380109,46.89068056,-103.05083889
230117,44.41198889,-69.74686944
470418,35.79170556,-88.37876111
61659,33.61946944,-115.02956944
61654,35.11891667,-116.23465556
40654,34.80853889,-114.14999444
280163,34.52171111,-89.92631944
130579,31.619025,-83.570425
481133,28.04256667,-97.75377222
280221,31.12478889,-89.37388056
180462,39.99377778,-85.84389167
40630,34.99800556,-110.59291944
350002,34.45834167,-106.82354167
210522,38.07618056,-83.95556667
40374,36.83256111,-114.00529167
61626,34.95766111,-116.65831944
40279,34.88349722,-111.6403
40430,35.23015278,-113.22292778
160090,43.26483333,-112.30656944
90146,41.51423056,-73.12024722
310026,40.8108,-99.900225
80417,40.37172222,-103.40602778
460100,43.77598611,-96.78140556
560075,42.6911,-105.2432
80449,39.66366667,-106.82122222
62489,36.61063056,-120.59328056
300123,45.11473889,-107.33992778
460080,43.69519167,-98.18151944
