count,latitude,longitude
1,39.04324722,-99.87098333
1,40.93420556,-104.79834167
1,32.73444444,-96.75755556
1,28.8788,-80.86128056
1,41.59876667,-90.58689167
1,36.346,-96.4289
1,39.06193056,-84.42212778
1,40.88400556,-76.797875
1,30.41265833,-93.67311667
1,32.61393056,-94.39193056
1,42.95851944,-115.46470278
1,40.12067778,-74.393025
1,32.66789444,-83.74436389
1,27.83930556,-82.6878
1,42.50610278,-76.65371111
1,48.710675,-118.12927222
1,39.97308056,-77.08045833
1,33.70330556,-84.17048611
1,38.66849722,-90.26577778
1,33.60350278,-112.29366944
1,30.19291944,-93.26635
1,35.44168611,-119.24637222
1,28.22041667,-82.27136944
1,34.13885833,-85.22736944
1,36.27806111,-86.44278889
1,34.53963333,-84.92207222
1,29.46520556,-98.47373056
1,45.42791667,-108.53613056
1,30.18641944,-82.59316944
1,41.46426389,-82.67226667
1,42.53766389,-92.44059722
1,43.05960278,-85.76811389
1,42.1389,-76.52321389
1,38.25825,-84.56534722
1,43.1479,-112.38986389
1,40.85492778,-75.29971111
1,44.20655556,-93.76962222
1,38.59504444,-90.32664722
1,41.83488333,-71.41361944
1,34.09701944,-81.07883889
1,32.74917222,-96.97545
1,39.40797222,-76.94795
1,33.81585556,-116.54552222
1,34.60894167,-98.45620278
1,31.04816111,-87.17284722
1,35.49301389,-97.3501
1,39.83101667,-105.00197222
1,40.25721944,-83.01941389
1,27.39,-82.47861111
1,31.70965,-106.29359722
1,37.67048889,-97.66443333
1,45.12708333,-93.04742778
1,46.94355,-122.6035
1,33.39333056,-111.83698056
1,30.14725556,-95.13769722
1,39.92224167,-104.41416667
1,41.45570833,-81.59606389
1,36.55430833,-119.65218889
1,40.30239722,-79.51864167
1,33.96608611,-90.07256667
1,44.92366111,-85.35407778
1,41.83720556,-72.46705
1,32.49173056,-85.55245278
1,37.71728611,-85.90340556
1,35.00258889,-85.5121
1,41.519025,-81.64072778
1,30.92885278,-92.72330278
1,38.42614444,-109.42769722
1,34.89065556,-80.96433889
1,40.26036944,-82.78760556
1,34.810725,-82.438175
1,39.81003611,-74.97977778
1,40.24567222,-104.81778611
1,33.9975,-95.4434
1,30.80236944,-91.20771111
1,36.39422778,-78.15674167
1,37.34525833,-120.54840278
1,29.74998056,-95.47710278
1,44.09623333,-91.13273611
1,36.62252222,-121.68418611
1,44.70952778,-93.42524444
1,39.67489444,-104.80971111
1,40.05833056,-85.99068889
1,33.97358889,-118.219175
1,40.73556667,-74.28556111
1,32.65306944,-95.75798056
1,33.953025,-78.31373889
1,41.20551111,-98.04009167
1,35.16220278,-80.43645278
1,42.02460556,-79.83644167
1,41.22433333,-76.78090833
1,31.50776389,-99.08334722
1,36.06508889,-86.71731944
1,41.91031944,-88.268675
1,33.27927778,-111.96726111
1,34.01410556,-117.81941944
1,39.00388056,-77.40035
1,35.06196389,-94.59969167
1,33.745225,-117.90422222
1,38.71641389,-90.22718333
1,27.89444444,-82.69083333
1,32.98973889,-80.22324167
1,33.229425,-97.14379444
1,43.98868611,-117.02622222
1,37.53148611,-85.38272778
1,40.06827778,-94.61583333
1,40.70864167,-73.48286667
1,36.26964167,-119.60060833
1,41.54854722,-86.95978889
1,39.95822778,-75.21099444
1,33.50945833,-112.14522778
1,37.74223056,-122.42429167
1,38.04976944,-84.45497222
1,36.45953056,-81.62504167
1,36.98156944,-76.42531944
1,45.49003889,-122.56855556
1,33.97123333,-118.29156667
1,39.224425,-86.44092222
1,28.02524444,-82.15819722
1,39.04730833,-94.44293889
1,37.62278611,-122.40073333
1,37.02328056,-79.13908056
1,40.04691944,-74.22162778
1,33.50523611,-85.65615
1,36.59658333,-121.92235278
1,34.16146944,-118.25863889
1,35.69176111,-80.48169444
1,36.01683611,-94.57363611
1,42.63485556,-83.26472222
1,36.02089722,-79.39416389
1,41.05680278,-87.44911389
1,38.29518056,-84.563175
1,37.27918611,-121.77490833
1,42.78026944,-71.07743611
1,41.81105833,-87.88912778
1,36.02352222,-115.10294167
1,35.34383333,-106.51242222
1,33.75950278,-118.06179722
1,27.26810556,-82.44873056
